traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
telefono,3,sustantivo,でんわ,*,*
zapatos,3,sustantivo,くつ,*,*
corbata,3,sustantivo,ねくたい,ネクタイ,*
vino,3,sustantivo,わいん,ワイン,*
tabaco,3,sustantivo,たばこ,タバコ,*
yen,3,sustantivo,えん,*,円
cuanto cuesta,3,pregunta,いくら,*,*
disculpe,3,frases,すみません,*,*
muestremelo por favor,3,frases,(を)みせてください,*,*
bueno,3,frases,じゃ,*,*
demelo por favor,3,frases,(を)ください,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
levantarse,4,verbos,おきます,*
dormir,4,verbos,ねます,*,*
trabajar,4,verbos,はたらきます,*,*
descansar,4,verbos,やすみます,*,*
estudiar,4,verbos,べんきょうします,*,*
terminar,4,verbos,おわります,*,*
grandes almacenes,4,sustantivo,でぱ-と,デパート,*
banco,4,sustantivo,ぎんこう,*,*
oficina de correos,4,sustantivo,ゆうびんきょく,*,*
biblioteca,4,sustantivo,としょかん,*,*
museo de bellas artes,4,sustantivo,びじゅつかん,*,*
mañana,4,sustantivo,あさ,*,*
tarde,4,sustantivo,ひる,*,*
noche,4,sustantivo,ばん,*,*
ahora,4,adverbios,いま,*,*
y media,4,extras,はん,*,半
am,4,extras,ごぜん,*,*
pm,4,extras,ごご,*,*
horas,4,contador,じ,*,*
minutos,4,contador,ふん／ぷ,*,分
Lunes,4,dias semana,げつようび,*,月曜日
Martes,4,dias semana,かようび,*,火曜日
Miércoles,4,dias semana,すいようび,*,水曜日
Jueves,4,dias semana,もくようび,*,木曜日
Viernes,4,dias semana,きんよきん,*,金曜日
Sabado,4,dias semana,どようび,*,土曜日
Domingo,4,dias semana,にちようび,*,日曜日
que día,4,pregunta,なにようび,*,何曜日
número,4,sustantivo,ばんごう,*,*
que número,4,pregunta,なんばｎ,*,*
por favor hagalo,4,frases,おねがいします,*,*
muy bien,4,frases,かしこまりました,*,*
cuasta mucho no,4,frases,たいへんですね,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
ir,5,verbos,行きます,*,*
venir,5,verbos,きます,*,*
regresar en lugar propio,5,verbos,かえります,*,*
regresar lugar no propio,5,verbos,もどります,*,*
avion,5,sustantivo,ひこうき,*,*
barco,5,sustantivo,ふね,*,*
tren,5,sustantivo,でんしゃ,*,*
subte,5,sustantivo,ちかてつ,*,*
tren bala,5,sustantivo,しんかんせん,*,*
colectivo,5,sustantivo,ばす,バス,*
taxi,5,sustantivo,たくし-,タクシー,*
bicicleta,5,sustantivo,じてんしゃ,*,*
a pie,5,adverbios,あるいて,*,*
persona,5,sustantivo,ひと,*,人
amigo,5,sustantivo,ともだち,*,友だち
novio,5,sustantivo,かれ,*,*
novia,5,sustantivo,かのじょ,*,*
familia,5,sustantivo,かぞく,*,*
solo,5,adverbios,ひとりで,*,一人で
semana pasada,5,calendario,せんしゅう,*,先しゅう
esta semana,5,calendario,こんしゅう,*,*
la proxima semana,5,calendario,らいしゅう,*,*
mes pasado,5,calendario,せんげつ,*,先月
este mes,5,calendario,こんげつ,*,こん月
el proximo mes,5,calendario,らいげつ,*,らい月
año pasaso,5,calendario,きょねん,*,きょ年
este año,5,calendario,ことし,*,こ年
el proximo año,5,calendario,らいねん,*,らい年
primer dia,5,calendario,ついたち,*,一日
segundo dia,5,calendario,ふつか,*,二日
tercer dia,5,calendario,みっか,*,三日
cuarto dia,5,calendario,よっか,*,四日
quinto dia,5,calendario,いつか,*,五日
sexto dia,5,calendario,むいか,*,六日
septimo dia,5,calendario,なのか,*,七日
octavo dia,5,calendario,ようか,*,八日
noveno dia,5,calendario,ここのか,*,九日
decimo dia,5,calendario,とおか,*,十日
decimo cuarto dia,5,calendario,じゅうよっか,*,十四日
decimo noveno dia,5,calendario,じゅうくにち,*,十九日
vigésimo dia,5,calendario,はつか,*,二十日
vigésimo cuarto dia,5,calendario,にじゅうよっか,*,二十四日
vigésimo noveno dia,5,calendario,にじゅうくにち,*,二十九日
cuando,5,pregunta,いつ,*,*
cumpleaños,5,sustantivo,たんじょうび,*,たんじょう日
tren local,5,sustantivo,ふつう,*,*
tren rapido,5,sustantivo,くうこう,*,*
tren expres,5,sustantivo,とっくう,*,*
siguiente,5,adverbios,つぎの,*,*
no hay de que,5,frases,どうしまして,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
pan,6,comida,ぱん,パソ,*
huevos,6,comida,たまご,*,*
carne,6,comida,にく,*,*
pescado,6,comida,さかな,*,*
verdura,6,comida,やさい,*,*
fruta,6,comida,くだもの,*,*
carne de vaca,6,comida,ぎゅうにく,*,*
leche de vaca,6,comida,ぎゅうにゆう,*,*
carne de pollo,6,comida,とりにく,*,*
carne de cerdo,6,comida,ぶたにく,*,*
agua,6,comida,みす,*,*
jugo,6,comida,じゅ-す,ジュ－ス,*
te verde,6,comida,おちゃ,*,*
te comun,6,comida,こうちゃ,*,*
cerveza,6,comida,おさけ,*,*
vino,6,comida,わいん,ワイン,*
leche comun,6,comida,みるく,ミルク,*
alcohol,6,comida,おさけ,*,*
sake,6,comida,にほんのおさけ,*,日本のさけ
desayuno,6,comida,あさごはん,*,*
comida o arroz,6,comida,ごはん,*,*
almuerzo,6,comida,ひるごはん,*,*
cena,6,comida,ばんごはん,*,*
cigarrillos,6,sustantivo,たばこ,タバコ,*
foto,6,sustantivo,しゃじん,*,*
musica,6,sustantivo,おんがく,*,*
carta,6,sustantivo,てがみ,*,手がみ
reporte,6,sustantivo,れぽ-と,レポート,*
mail,6,sustantivo,め-る,メール,*
video,6,sustantivo,びでお,ビデオ,*
pelicula,6,sustantivo,えいが,*,*
anime,6,sustantivo,あにめ,アニメ,*
drama,6,sustantivo,どらま,ドラマ,*
tarea,6,sustantivo,しゅくだい,*,*
practica,6,sustantivo,わんしゅう,*,*
trabajo,6,sustantivo,しごと,*,*
tenis,6,sustantivo,てにす,テニス,*
futbol,6,sustantivo,さっか-,サッカー,*
basquetball,6,sustantivo,ばすけっとぼ-る,バスケットボール,*
baseball,6,sustantivo,やきゅう,*,*
videojuegos,6,sustantivo,げ-む,ゲ-ム,*
fiesta,6,sustantivo,ぱ-ちい,パーティ,*
contemplacion de los sakuras,6,sustantivo,おはなみ,*,*
vacaciones,6,sustantivo,りょこう,*,*
tienda,6,sustantivo,みせ,*,*
restaurante,6,sustantivo,れすとらん,レストラン,*
jardin,6,sustantivo,にわ,*,*
comer,6,verbos,たべます,*,*
tomar,6,verbos,のみます,*,*
aspirar,6,verbos,すいます,*,*
tomar,6,verbos,とります,*,*
comprar,6,verbos,かいます,*,*
escuchar,6,verbos,ききます,*,*
leer,6,verbos,よみます,*,*
escribir,6,verbos,かきます,*,*
mirar,6,verbos,みます,*,*
hacer,6,verbos,します,*,*
encontrarse,6,verbos,あいます,*,*
juntos,6,adverbios,うっしょに,*,*
poco,6,adverbios,ちょっと,*,*
siempre,6,adverbios,いつも,*,*
de vez en cuando,6,adverbios,ときどき,*,*
y despues,6,extras,それから,*,*
y ademas,6,extras,そして,*,*
okay,6,extras,ええ,*,*
esta bueno no,6,frases,いいですね,*,*
te vere mañana,6,frases,じゃ また,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
abuelo,7,mi familia a terceros,そふ,*,*
abuela,7,mi familia a terceros,そぼ,*,*
padre,7,mi familia a terceros,ちち,*,父
madre,7,mi familia a terceros,はは,*,母
hermana mayor,7,mi familia a terceros,あね,*,*
hermano mayor,7,mi familia a terceros,あに,*,*
hermana menor,7,mi familia a terceros,おもうと,*,*
hermano menor,7,mi familia a terceros,おとうと,*,*
esposa,7,mi familia a terceros,つま,*,*
esposo,7,mi familia a terceros,おっと,*,*
hija,7,mi familia a terceros,むすめ,*,*
hijo,7,mi familia a terceros,むすこ,*,*
familia,7,mi familia a terceros,かぞく,*,*
abuelos,7,mi familia a terceros,ぞふぼ,*,*
padres,7,mi familia a terceros,りょうしん,*,*
hermanos,7,mi familia a terceros,きょうだい,*,*
matrimonio,7,mi familia a terceros,ふうふ,*,*
niños,7,mi familia a terceros,こども,*,子ども
abuelo,7,mi familia a ellos,おじいさん,*,*
abuela,7,mi familia a ellos,おばあさん,*,*
padre,7,mi familia a ellos,おとおさん,*,*
madre,7,mi familia a ellos,おかあさん,*,*
hermana mayor,7,mi familia a ellos,おねえさん,*,*
hermano mayor,7,mi familia a ellos,おにいさん,*,*
hermana menor,7,familia de otros,いもうとさん,*,*
hermano menor,7,familia de otros,おとうとさん,*,*
